60,80,60,240
60,240,100,340
100,340,100,400
140,340,140,400
140,400,100,400
140,340,200,400
200,400,280,400
280,400,280,300
280,300,240,300
240,360,240,340
240,340,220,340
220,340,220,360
220,360,240,360
240,300,240,280
240,280,440,280
440,280,340,400
340,400,340,500
340,500,140,500
140,500,140,560
140,560,580,560
580,560,580,20
580,20,60,20
60,20,60,80
360,180,380,180
380,180,400,160
400,160,400,140
400,140,380,120
380,120,360,120
360,120,340,140
340,140,340,160
340,160,360,180
460,180,460,200
460,200,480,200
480,200,480,180
480,180,460,180
500,180,500,160
500,160,520,160
520,160,520,180
520,180,500,180
520,200,520,180
520,180,540,180
540,180,540,200
540,200,520,200
140,160,220,180
140,140,220,120
140,140,140,120
140,120,200,120
140,160,140,180
140,180,220,180
220,120,200,120
240,280,240,220
240,220,320,220
320,220,320,240
320,240,260,240
